7571.999,7303.996,7188,6988.998,2009,8322.999,7318.999,4700
7946.997,7449,7174.997,2958.997,4503.001,8525.001,10874,5559.998
8788,7331,6801.002,3501.001,9771.998,5762.997,10571,5318.998
11076.998,7394.998,6305.003,3589,8730.002,4874.667,7911,4507.002
10224.999,9248.002,7735.999,3104,3887.998,5443.997,9505.998,5784.997
10076.33,9223.332,7712.003,3034.335,4111.666,4150.001,9208.001,5914.997
10411.664,8475.667,8706.999,5908.666,4285.333,4180.999,8984.997,5161
10740,8379.001,8128.998,5212,4310.003,4077.997,8285.999,4724.998
8577.002,8061,8429.997,3499.003,3732,3701.002,8159.997,5259.998
5169,8587.002,9141.003,5479.002,3872.002,4287.999,9560.999,7735.002
3608.002,10656.001,8536.999,7053.001,4745.001,4003.999,9320.498,7324.999
5992.999,9616.003,7825,7309.001,3654,4764.001,8637,7695.001
6386.501,9474,7840.499,7904,3340.999,4208.002,9136,7827.5
6518.498,9326.999,7717.502,7618.003,2981.998,3908.998,8998.999,6796.499
6945.997,9917.996,8113.001,7930,3213.996,3962,9435,6836
6273,8864,7564.002,7628,3751.001,4072,8846.998,5992
6164.001,7841.998,7381.001,7590.999,6097.999,5097.999,7099.001,5147.999
8104.003,7222.002,8285.997,6214.001,5281.001,5520.998,8909.996,5236
5586.999,4893.335,5806.001,3119.667,1762.001,3122.999,6238.999,3913
6759,8898.667,7467.002,7420.336,6678,5504.997,8985.999,7333.998
7202.999,7010.003,6803.998,7700.998,7513.999,4693.997,8966,7273
7331.999,6004.247,6218.748,7802.502,7333.333,4294.75,7360.253,5195
5115,5348.749,6065.251,4642.502,4389.001,4477.251,3751.75,1520.003
5157.999,5271.003,5951.003,4044.002,4455.996,4817,3763.999,2133.996
5031.002,4943,5739.998,4322.001,4369.999,4909.999,3608.998,1855.001
4539,4130.002,5066.999,4057.003,3625.002,4233,3248.001,1441
4384,4674.003,4995.004,3350,3714.999,4266.999,2960.998,1240.001
5315.999,6202.997,6148,4533.999,4354,5465.003,7175.006,2595.999
7231.997,7835.001,8358.998,5474.997,5702.996,6919.998,10251,5732.999
5772.665,6504.332,6020,5725.665,5174,5154.668,7533.333,4713.332
6505.336,7283.002,6568.333,5807.001,5642.002,6173.668,8572,6064
7114.997,7585.669,7358.665,6355.332,6206.999,5856.667,8697.665,6490.667
6812,7394.001,7278.999,6555.997,6325.001,5489.001,8538,6511.002
7484.002,7582.001,7653.001,6775.002,6457.002,5826,9181,7471.002
7187,6780,7387.999,6516.002,6436,5963.001,8700,7319.999
7192.001,7550.001,7477.998,6187,6224.002,5560.003,8090.998,7123
7138.995,7091.004,7498.001,6151,6164,5472,8079.005,5337.001
8757.001,6241.997,6768.001,5889.001,5676.001,4854.998,7639,4339
9296.002,7067.003,7296.998,6228.999,5998.998,5425.001,8715,4751.998
5219,3947.001,4075.999,3447,3157.999,3105.999,5061.001,2847.001
6141,5926,5779.5,4876.8,4393.9,4364.2,5927,4103.7
8363.6,6469.498,7342.574,5316.475,7798.583,4361.533,6430.902,4671.9
7908,6279.699,9059.3,4391.499,10949.699,4361.533,5846.6,7371.452
7888.799,6323.501,9152.499,3576.399,10934.901,5160.901,5957.299,7789.998
7778.667,6635.333,9306.666,2396.332,10498.998,4390.665,5796.166,6892.002
7992.334,6659.668,9723.334,1903.668,11274.001,4708.333,5885.333,7476
4027.001,8244.999,10508.399,1716.4,10731.401,4175,6107.601,8038.401
5197,6590,7113.6,6382.6,9218.6,4267,4179.4,6458.6
,,,,,,,
,,,,,,,
,,,,,,,
